PlotId, DensityPreFire ,DensityPostfire,DensityKilled,BAPre sq/ft,BAPost sq/ft,BAKld sq/ft,CanCov Prefire,CanCov Postfire,CanCov Diff,DBHKldAvg (inch),MortAvg4 percent,MortAvg percent 
CS-ABAM-5-25-30-3,100,35,65,14,5,9,14,5,9,5,65,65
CS-ABBA-5-25-30-3,100,26,74,14,4,10,13,4,10,5,74,74
CS-ABCO-5-25-30-3,100,97,3,14,13,0,13,13,0,5,3,3
CS-ABGR-5-25-30-3,100,84,16,14,12,2,16,14,2,5,16,16
CS-ABLA-5-25-30-3,100,84,16,14,12,2,10,8,1,5,16,16
CS-ABMA-5-25-30-3,100,91,9,14,12,1,11,10,1,5,9,9
CS-ABPR-5-25-30-3,100,34,66,14,5,9,12,4,8,5,66,66
CS-ACBA3-5-25-30-3,100,25,75,14,3,10,35,10,25,5,75,75
CS-ACMA3-5-25-30-3,100,23,77,14,3,11,35,9,26,5,77,77
CS-ACNE2-5-25-30-3,100,28,72,14,4,10,35,11,24,5,72,72
CS-ACNI5-5-25-30-3,100,28,72,14,4,10,35,11,23,5,72,72
CS-ACPE-5-25-30-3,100,34,66,14,5,9,35,14,21,5,66,66
CS-ACSA2-5-25-30-3,100,26,74,14,4,10,35,11,24,5,74,74
CS-ACSA3-5-25-30-3,100,27,73,14,4,10,35,11,24,5,73,73
CS-ACSP2-5-25-30-3,100,31,69,14,4,9,35,12,22,5,69,69
CS-AEGL-5-25-30-3,100,29,71,14,4,10,18,6,12,5,71,71
CS-AEFL-5-25-30-3,100,37,63,14,5,9,18,7,11,5,63,63
CS-AIAL-5-25-30-3,100,37,63,14,5,9,18,7,11,5,63,63
CS-ALRH2-5-25-30-3,100,20,80,14,3,11,34,8,26,5,80,80
CS-ALRU2-5-25-30-3,100,20,80,14,3,11,34,8,26,5,80,80
CS-AMAR3-5-25-30-3,100,37,63,14,5,9,18,7,11,5,63,63
