RunId,PlotId,MonStatus,MonStatusOrder,TreeSpecies,TreeExpansionFactor,Diameter,TreeHeight,CrownBaseHeight,TreeStatus,CrownClass,CrownRatio,BoleCharHeight,CrownScorch%,ScorchHeight,CKR,BeetleDamage,EquationType,FlLe/ScHt,FS,Severity,BehaveProbability,FOFEMProbability,AbsoluteDifference
1,CS-ABAM-5-25-30-3,30,3,ABAM,100,5,25,,,,30,,,,,,CRNSCH,3,S,,64,65,0.0180593,
2,CS-ABBA-5-25-30-3,31,3,ABBA,100,5,25,,,,30,,,,,,CRNSCH,3,S,,73,74,0.228647,
3,CS-ABCO-5-25-30-3,30,3,ABCO,100,5,25,,,,30,,,,,,CRNSCH,3,S,,2,3,0.0923009,
4,CS-ABGR-5-25-30-3,30,3,ABGR,100,5,25,,,,30,,,,,,CRNSCH,3,S,,15,16,0.488058,
5,CS-ABLA-5-25-30-3,30,3,ABLA,100,5,25,,,,30,,,,,,CRNSCH,3,S,,15,16,0.488058,
6,CS-ABMA-5-25-30-3,30,3,ABMA,100,5,25,,,,30,,,,,,CRNSCH,3,S,,9,9,0.0421437,
7,CS-ABPR-5-25-30-3,30,3,ABPR,100,5,25,,,,30,,,,,,CRNSCH,3,S,,66,66,0.115117,
8,CS-ACBA3-5-25-30-3,30,3,ACBA3,100,5,25,,,,30,,,,,,CRNSCH,3,S,,74,75,0.190446,
9,CS-ACMA3-5-25-30-3,30,3,ACMA3,100,5,25,,,,30,,,,,,CRNSCH,3,S,,77,77,0.325616,
10,CS-ACNE2-5-25-30-3,30,3,ACNE2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,72,72,0.183598,
11,CS-ACNI5-5-25-30-3,30,3,ACNI5,100,5,25,,,,30,,,,,,CRNSCH,3,S,,71,72,0.35316,
12,CS-ACPE-5-25-30-3,30,3,ACPE,100,5,25,,,,30,,,,,,CRNSCH,3,S,,66,66,0.115117,
13,CS-ACSA2-5-25-30-3,30,3,ACSA2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,73,74,0.228647,
14,CS-ACSA3-5-25-30-3,30,3,ACSA3,100,5,25,,,,30,,,,,,CRNSCH,3,S,,72,73,0.283293,
15,CS-ACSP2-5-25-30-3,30,3,ACSP2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,69,0.0859648,
16,CS-AEGL-5-25-30-3,30,3,AEGL,100,5,25,,,,30,,,,,,CRNSCH,3,S,,71,71,0.106594,
17,CS-AEFL-5-25-30-3,30,3,AEFL,100,5,25,,,,30,,,,,,CRNSCH,3,S,,63,63,0.272053,
18,CS-AIAL-5-25-30-3,30,3,AIAL,100,5,25,,,,30,,,,,,CRNSCH,3,S,,63,63,0.272053,
19,CS-ALRH2-5-25-30-3,30,3,ALRH2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,79,80,0.284622,
20,CS-ALRU2-5-25-30-3,30,3,ALRU2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,79,80,0.284622,
21,CS-AMAR3-5-25-30-3,30,3,AMAR3,100,5,25,,,,30,,,,,,CRNSCH,3,S,,63,63,0.272053,
22,CS-ARME-5-25-30-3,30,3,ARME,100,5,25,,,,30,,,,,,CRNSCH,3,S,,57,58,0.457802,
23,CS-BEAL2-5-25-30-3,30,3,BEAL2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,73,74,0.228647,
24,CS-BELE-5-25-30-3,30,3,BELE,100,5,25,,,,30,,,,,,CRNSCH,3,S,,74,74,0.292583,
25,CS-BENI-5-25-30-3,30,3,BENI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,74,75,0.190446,
26,CS-BEOC2-5-25-30-3,30,3,BEOC2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,79,80,0.284622,
27,CS-BEPA-5-25-30-3,30,3,BEPA,100,5,25,,,,30,,,,,,CRNSCH,3,S,,79,80,0.284622,
28,CS-BETSPP-5-25-30-3,30,3,BETSPP,100,5,25,,,,30,,,,,,CRNSCH,3,S,,79,80,0.284622,
29,CS-CEOC-5-25-30-3,30,3,CEOC,100,5,25,,,,30,,,,,,CRNSCH,3,S,,71,72,0.35316,
30,CS-CACA18-5-25-30-3,30,3,CACA18,100,5,25,,,,30,,,,,,CRNSCH,3,S,,74,74,0.292583,
31,CS-CAAL27-5-25-30-3,30,3,CAAL27,100,5,25,,,,30,,,,,,CRNSCH,3,S,,67,67,0.241227,
32,CS-CACOL3-5-25-30-3,30,3,CACOL3,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,71,0.436977,
33,CS-CAGL8-5-25-30-3,30,3,CAGL8,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,71,0.436977,
34,CS-CAIL2-5-25-30-3,30,3,CAIL2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,71,71,0.106594,
35,CS-CALA21-5-25-30-3,30,3,CALA21,100,5,25,,,,30,,,,,,CRNSCH,3,S,,67,67,0.241227,
36,CS-CAOV2-5-25-30-3,30,3,CAOV2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,69,0.0859648,
37,CS-CARSPP-5-25-30-3,30,3,CARSPP,100,5,25,,,,30,,,,,,CRNSCH,3,S,,66,67,0.320856,
38,CS-CATE9-5-25-30-3,30,3,CATE9,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,69,0.0859648,
39,CS-CADE12-5-25-30-3,30,3,CADE12,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,69,0.0859648,
40,CS-CELA-5-25-30-3,30,3,CELA,100,5,25,,,,30,,,,,,CRNSCH,3,S,,71,71,0.106594,
41,CS-CECA4-5-25-30-3,30,3,CECA4,100,5,25,,,,30,,,,,,CRNSCH,3,S,,71,72,0.35316,
42,CS-CHLA-5-25-30-3,30,3,CHLA,100,5,25,,,,30,,,,,,CRNSCH,3,S,,45,46,0.0504661,
43,CS-CHNO-5-25-30-3,30,3,CHNO,100,5,25,,,,30,,,,,,CRNSCH,3,S,,78,78,0.297503,
44,CS-CHTH2-5-25-30-3,30,3,CHTH2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,76,77,0.167978,
45,CS-CHCHC4-5-25-30-3,30,3,CHCHC4,100,5,25,,,,30,,,,,,CRNSCH,3,S,,66,66,0.115117,
46,CS-CONU4-5-25-30-3,30,3,CONU4,100,5,25,,,,30,,,,,,CRNSCH,3,S,,56,56,0.400958,
47,CS-CRASPP-5-25-30-3,30,3,CRASPP,100,5,25,,,,30,,,,,,CRNSCH,3,S,,56,56,0.400958,
48,CS-DIVI5-5-25-30-3,30,3,DIVI5,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,68,0.358848,
49,CS-FAGR-5-25-30-3,30,3,FAGR,100,5,25,,,,30,,,,,,CRNSCH,3,S,,76,77,0.167978,
50,CS-FRAM2-5-25-30-3,30,3,FRAM2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,67,68,0.198813,
51,CS-FRNI-5-25-30-3,30,3,FRNI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,71,72,0.35316,
52,CS-FRPE-5-25-30-3,30,3,FRPE,100,5,25,,,,30,,,,,,CRNSCH,3,S,,69,69,0.466575,
53,CS-FRPR-5-25-30-3,30,3,FRPR,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,71,0.436977,
54,CS-FRQU-5-25-30-3,30,3,FRQU,100,5,25,,,,30,,,,,,CRNSCH,3,S,,74,74,0.292583,
55,CS-FRASPP-5-25-30-3,30,3,FRASPP,100,5,25,,,,30,,,,,,CRNSCH,3,S,,67,68,0.198813,
56,CS-GLTR-5-25-30-3,30,3,GLTR,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,70,0.0162941,
57,CS-GOLA-5-25-30-3,30,3,GOLA,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,70,0.0162941,
58,CS-GYDI-5-25-30-3,30,3,GYDI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,73,74,0.228647,
59,CS-HALSPP-5-25-30-3,30,3,HALSPP,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,70,0.0162941,
60,CS-ILOP-5-25-30-3,30,3,ILOP,100,5,25,,,,30,,,,,,CRNSCH,3,S,,67,68,0.198813,
61,CS-JUCI-5-25-30-3,30,3,JUCI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,68,0.358848,
62,CS-JUNI-5-25-30-3,30,3,JUNI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,68,0.358848,
63,CS-JUOC-5-25-30-3,30,3,JUOC,100,5,25,,,,30,,,,,,CRNSCH,3,S,,66,66,0.115117,
64,CS-JUVI-5-25-30-3,30,3,JUVI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,69,0.0859648,
65,CS-LALA-5-25-30-3,30,3,LALA,100,5,25,,,,30,,,,,,CRNSCH,3,S,,73,74,0.228647,
66,CS-LALY-5-25-30-3,30,3,LALY,100,5,25,,,,30,,,,,,CRNSCH,3,S,,63,63,0.272053,
67,CS-LAOC-5-25-30-3,30,3,LAOC,100,5,25,,,,30,,,,,,CRNSCH,3,S,,9,9,0.280137,
68,CS-CADE27-5-25-30-3,30,3,CADE27,100,5,25,,,,30,,,,,,CRNSCH,3,S,,1,1,0.411085,
69,CS-LIST2-5-25-30-3,30,3,LIST2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,57,58,0.457802,
70,CS-LITU-5-25-30-3,30,3,LITU,100,5,25,,,,30,,,,,,CRNSCH,3,S,,63,63,0.272053,
71,CS-LIDE3-5-25-30-3,30,3,LIDE3,100,5,25,,,,30,,,,,,CRNSCH,3,S,,62,62,0.127461,
